#separator:tab
#html:true
#tags column:8
The sum of the two numbers is 98. The difference between the two numbers is 28. Find one of the two numbers.	32	62	58	35	4		Prelims-137 MATH
The speed of a boat down the stream is 125% of the speed in still water. If the boat takes 30 minutes to cover 20 km in still water, then how much time (in hours) will it take to cover 15 km upstream?	\(\frac{3}{4}\)	\(\frac{1}{2}\)	\(\frac{1}{4}\)	1	2		Prelims-137 MATH
Archana took a loan of ₹78,000 from a bank on 24th January 2012 at \(8 \frac{3}{4}\)% per annum simple interest and paid it back on 18th June 2012. Find the total amount paid by Archana. (Approximated to nearest integer)	₹80,723	₹90,730	₹85,733	₹88,730	1		Prelims-137 MATH
Mother told her daughter, "Seven years ago, I was seven times as old as you were then. Also, three years from now, I shall be three times as old as you will be". Find the present ages of the mother and the daughter, respectively.	45; 15	40; 10	42; 12	50; 20	3		Prelims-137 MATH
The following pie chart shows the annual expenditure on different items. What is the minimum angle in the given pie chart?<br><img alt src=https://storage.googleapis.com/tb-img/production/23/10/Quant_Akash_Pankaj_23.10.2023_G14.PNG>	36°	45°	32°	30°	1		Prelims-137 MATH
What is the number of common tangents that can be drawn to two circles that touch each other externally?	2	4	3	1	3		Prelims-137 MATH
Which of the numbers 9592450, 9592330, 9592885 and 9592741 is divisible by 11?	9592885	9592741	9592450	9592330	4		Prelims-137 MATH
The number of mobile sim-cards in 4 states/UT are given in the bar diagram. Study the diagram and answer the question.<br><img alt src=https://storage.googleapis.com/tb-img/production/23/10/Quant_Akash_Pankaj_23.10.2023_G15.PNG><br>In Delhi, the ratio of BSNL Sim-cards and Airtel Sim-cards sold is:	1 ∶ 2	2 ∶ 1	3 ∶ 2	2 ∶ 3	1		Prelims-137 MATH
For any acute angle \(\theta\), \(sin~\theta + sin^2~\theta = 1\) then the value of<br>\(cos^2~\theta + cos^4~\theta =\) ..........	0	1	2	\(-1\)	2		Prelims-137 MATH
Two persons started running on a circular track at a speed of 20 m/s and 30 m/s in opposite directions. If the circumference of the circular track is 100 m, find at how many distinct points they will cross each other?	2	3	5	10	3		Prelims-137 MATH
Susan can type 12 pages in 6 minutes. Mary can type 6 pages in 12 minutes. Working together, how many pages can they type in 32 minutes?	80	65	70	75	1		Prelims-137 MATH
R lends some money to S on which S pays ₹17,000 more to R. S lends the same money to T, on which T pays 8.5% more to S. What should be the minimum amount (in ₹) that S must borrow so that he does not incur any loss in the process?	2,00,000	2,25,000	1,80,000	1,70,000	1		Prelims-137 MATH
Work done by 8 men is completed in 10 days. The same work can be completed in 12 days when done by 10 women. How many days will it take to complete when 4 men and 4 women are employed to perform the same job?	12	6	10	8	1		Prelims-137 MATH
If \(x^2 - 7x + 1 = 0\), and \(0 < x < 1\), what is the value of \(x^2 - \frac{1}{x^2}\) ?	\(21\sqrt{5}\)	\(-21\sqrt{5}\)	\(28\sqrt{5}\)	\(-28\sqrt{5}\)	2		Prelims-137 MATH
The marked price of a geyser is ₹9,400 and the shopkeeper allows a discount 4% on it. Find the selling price of the geyser.	₹9,024	₹9,124	₹9,324	₹9,224	1		Prelims-137 MATH
In ₹150, B buys 10 pens for ₹8 each, 10 erasers for ₹5 each and some sharpeners for ₹4 each. What is the average price per item in ₹?	8	7	10	6	4		Prelims-137 MATH
10 women can do a work in 6 days and 6 men can do the same work in 5 days. If all these men and women work together, then how many days will they take to finish this work?	\(2 \frac{8}{11}\)	\(4 \frac{6}{11}\)	\(1 \frac{2}{11}\)	\(3 \frac{4}{11}\)	1		Prelims-137 MATH
If ∆ABC ~ ∆PQR, AB = 4 cm, PQ = 6 cm, QR = 9 cm and RP = 12 cm, then find the perimeter of ∆ABC.	18 cm	16 cm	20 cm	22 cm	1		Prelims-137 MATH
The third proportional between 25 and 35 is:	35	49	40	25	2		Prelims-137 MATH
The salaries of a father, mother and daughter are in the ratio 2 ∶ 3 ∶ 5. What will be the ratio of their salaries if there was an increase of 15%, 10% and 20%, respectively?	19 ∶ 13 ∶ 15	23 ∶ 33 ∶ 60	17 ∶ 37 ∶ 50	17 ∶ 18 ∶ 25	2		Prelims-137 MATH
To have a surface area of 9π square units of a ball, what should be the diameter (in units) of the ball?	2.5	2	1.5	3	4		Prelims-137 MATH
The area of the sector of a circle (in \(cm^2\)) of radius 7 cm and central angle \(60°\) is:<br>(Take \(\Pi = \frac{22}{7}\))	\(\frac{77}{2}\)	77	\(\frac{77}{3}\)	\(\frac{77}{4}\)	3		Prelims-137 MATH
If 65% of 350 - ?% of 250 + 40% of 120 = 158, then find the value of ?	57	63	47	54	3		Prelims-137 MATH
If \(2~Cot~x = 5\), then what is \(\frac{2~Cos~x - Sin~x}{2~Cos~x + Sin~x}\) equal to?	\(\frac{3}{4}\)	\(\frac{1}{3}\)	\(\frac{5}{6}\)	\(\frac{2}{3}\)	4		Prelims-137 MATH
If in ∆ABC and ∆DEF, \(\frac{AB}{DE} = \frac{BC}{FD}\) then they will be similar when:	\(\angle B = \angle D\)	\(\angle A = \angle D\)	\(\angle A = \angle F\)	\(\angle B = \angle E\)	1		Prelims-137 MATH
